ID,Accession,Target,TargetID,Experiment,Literature,Tissue
hsa-let-7b-5p,MIMAT0000063,CCNK,8812,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CCNT2,905,PAR-CLIP,21572407,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CCNY,219771,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CD151,977,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CD2BP2,10421,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CD59,966,PAR-CLIP,23446348|20371350,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CD81,975,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CD99,4267,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CDC25A,993,Immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR//Western blot,19966857|17699775,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CDC34,997,Immunoblot//Luciferase reporter assay//Microarray//qRT-PCR//Western blot,19126550|17699775|21252116,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CDCA7,83879,Microarray,17699775,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CDCA8,55143,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CDIPT,10423,Proteomics//pSILAC,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CDK6,1021,Luciferase reporter assay//Microarray//Western blot,17699775,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CDKAL1,54901,HITS-CLIP//Proteomics//pSILAC,18668040|23706177,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CDKN1A,1026,Immunoblot//Microarray//PAR-CLIP//qRT-PCR,21572407|25578966,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CDKN1B,1027,Immunoblot//Microarray//qRT-PCR,25578966,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CDV3,55573,PAR-CLIP,21572407,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CELF1,10658,PAR-CLIP,24398324,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CENPB,1059,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CENPV,201161,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CEP120,153241,PAR-CLIP,23592263,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CEP126,57562,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CEP135,9662,PAR-CLIP,24398324,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CHAF1A,10036,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CHD1,1105,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CHD3,1107,CLASH//Proteomics,18668040|23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CHD4,1108,CLASH//Proteomics,18668040|23622248,Breast cancerous tissues
